类别,原功能/组件,适配方案,优先级,备注
必须替换,OpenAI GPT-4o,文心一言/通义千问/讯飞星火,P0,核心对话能力
必须替换,Anthropic Claude,国内大模型替代,P0,服务不可用
必须替换,Google Gemini,国内大模型替代,P0,服务不可用
必须替换,ElevenLabs TTS,阿里云/腾讯云/讯飞TTS,P0,服务不可用+合规
必须替换,Deepgram STT,讯飞/阿里云/腾讯云STT,P0,服务不稳定
必须替换,Gladia STT,国内STT服务替代,P0,服务不可用
需要调整,电话号码购买,对接国内运营商/云通信服务商,P0,基础通信能力
需要调整,国际号码,移除或限制,P1,聚焦国内市场
需要调整,自定义SIP,对接国内SIP服务商,P2,企业定制需求
需要调整,通话录音,增加合规提示,P1,符合国内录音法规
需要调整,SOC2合规,替换为等保2.0/3.0认证,P1,国内安全合规标准
需要调整,HIPAA合规,替换为个人信息保护法合规,P1,国内数据保护法规
需要调整,PCI合规,替换为金融行业标准,P2,国内支付行业要求
需要调整,数据存储,必须国内数据中心,P0,数据不出境要求
需要调整,美元计费,改为人民币计费,P1,国内用户习惯
需要调整,国际信用卡,增加支付宝/微信支付,P1,国内主流支付方式
需要新增,国内大模型统一接入层,适配多个国内LLM,P0,模型层本土化
需要新增,国内语音服务统一接入,适配多个国内TTS/STT,P0,语音层本土化
需要新增,国内运营商对接,电话通信能力,P0,通信层本土化
需要新增,国内合规检测,内容安全审核,P0,合规要求
需要新增,国内支付集成,支付宝/微信支付,P1,支付本土化
需要新增,中文优化,中文分词、语义理解优化,P1,中文体验优化
需要新增,国内模板市场,本土化场景模板,P2,降低使用门槛
可保留,Assistants架构,与模型无关的设计,P0,核心架构可复用
可保留,Squads架构,与模型无关的设计,P0,核心架构可复用
可保留,Tools系统,与模型无关的设计,P0,核心架构可复用
可保留,Web SDK,技术通用,P1,可直接复用
可保留,可观测性框架,与模型无关的设计,P1,核心架构可复用
可保留,多语言SDK设计,技术通用,P1,设计可复用
